Experiment	bias spectroscopy	
Date	27.04.2022 17:49:02	
User		
X (m)	-177.33E-9	
Y (m)	-52.6544E-9	
Z (m)	2.66577E-9	
Z offset (m)	0E+0	
Settling time (s)	133.333E-6	
Integration time (s)	20E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	Vac=250mVrms div 1/1000	
Comment02	Input 3: X gain 1k	
Comment03	Input 4: Y gain 1k	
Comment04	T=55mK	
Bias>Bias (V)	0E+0	
Bias>Calibration (V/V)	893.1E-6	
Bias>Offset (V)	4E-3	
Bias Spectroscopy>Sweep Start (V)	1.5E-3	
Bias Spectroscopy>Sweep End (V)	-1.5E-3	
Bias Spectroscopy>Num Pixel	1001	
Bias Spectroscopy>Z Avg time (s)	150E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	5E-3	
Bias Spectroscopy>Settling time (s)	133.333E-6	
Bias Spectroscopy>Integration time (s)	20E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	5	
Bias Spectroscopy>Channels	Current (A);Input 3 (V);Input 4 (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	-1E+0,1E+0,66.6667E-6,66.6667E-6,256	
Current>Current (A)	-320.51E-15	
Current>Calibration (A/V)	10E-9	
Current>Offset (A)	7.57359E-12	
Current>Gain	n/a	
NanonisMain>Session Path	F:\Nanonis data\2022\2022-03-24-Re255Gr\2022-04-27	
NanonisMain>SW Version	Generic 4	
NanonisMain>UI Release	10022	
NanonisMain>RT Release	8987	
NanonisMain>RT Frequency (Hz)	15E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Piezo Calibration>Active Calib.	LT	
Piezo Calibration>Calib. X (m/V)	10.56E-9	
Piezo Calibration>Calib. Y (m/V)	-10.26E-9	
Piezo Calibration>Calib. Z (m/V)	1.34E-9	
Piezo Calibration>HV Gain X	15	
Piezo Calibration>HV Gain Y	15	
Piezo Calibration>HV Gain Z	15	
Piezo Calibration>Tilt X (deg)	0	
Piezo Calibration>Tilt Y (deg)	0	
Piezo Calibration>Curvature radius X (m)	Inf	
Piezo Calibration>Curvature radius Y (m)	Inf	
Piezo Calibration>2nd order corr X (V/m^2)	0E+0	
Piezo Calibration>2nd order corr Y (V/m^2)	0E+0	
Piezo Calibration>Drift X (m/s)	0E+0	
Piezo Calibration>Drift Y (m/s)	0E+0	
Piezo Calibration>Drift Z (m/s)	0E+0	
Piezo Calibration>Drift correction status (on/off)	FALSE	
Z-Controller>Z (m)	0E+0	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	OFF	
Z-Controller>Setpoint	1E-9	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	1.87382E-12	
Z-Controller>I gain	14.1747E-9	
Z-Controller>Time const (s)	132.194E-6	
Z-Controller>TipLift (m)	10E-9	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Bias calc (V)	Current [AVG] (A)	Input 3 [AVG] (V)	Input 4 [AVG] (V)	Current [00001] (A)	Input 3 [00001] (V)	Input 4 [00001] (V)	Current [00002] (A)	Input 3 [00002] (V)	Input 4 [00002] (V)	Current [00003] (A)	Input 3 [00003] (V)	Input 4 [00003] (V)	Current [AVG] [bwd] (A)	Input 3 [AVG] [bwd] (V)	Input 4 [AVG] [bwd] (V)	Current [00001] [bwd] (A)	Input 3 [00001] [bwd] (V)	Input 4 [00001] [bwd] (V)	Current [00002] [bwd] (A)	Input 3 [00002] [bwd] (V)	Input 4 [00002] [bwd] (V)	Current [00003] [bwd] (A)	Input 3 [00003] [bwd] (V)	Input 4 [00003] [bwd] (V)
1.50000E-3	1.00534E-9	1.63510E+0	19.8014E-3	1.00452E-9	1.67020E+0	27.3615E-3	1.00100E-9	1.58428E+0	5.07442E-3	1.01051E-9	1.65083E+0	26.9684E-3	1.01196E-9	1.64286E+0	17.1721E-3	1.01085E-9	1.65475E+0	-15.8850E-3	1.01378E-9	1.63704E+0	38.5368E-3	1.01125E-9	1.63679E+0	28.8644E-3
1.49700E-3	1.00220E-9	1.62745E+0	38.8536E-3	1.00150E-9	1.65028E+0	40.8612E-3	998.754E-12	1.58375E+0	26.2654E-3	1.00634E-9	1.64832E+0	49.4342E-3	1.00957E-9	1.63760E+0	-872.460E-6	1.00686E-9	1.65300E+0	-27.7877E-3	1.01133E-9	1.61973E+0	25.3251E-3	1.01053E-9	1.64006E+0	-154.840E-6
1.49400E-3	1.00078E-9	1.61662E+0	18.3997E-3	997.578E-12	1.62346E+0	6.33646E-3	1.00016E-9	1.59209E+0	29.3014E-3	1.00460E-9	1.63432E+0	19.5612E-3	1.00737E-9	1.62944E+0	-5.59076E-3	1.00416E-9	1.64397E+0	4.30715E-3	1.01029E-9	1.61669E+0	-784.235E-6	1.00765E-9	1.62764E+0	-20.2952E-3
1.49100E-3	998.382E-12	1.61350E+0	-1.70703E-3	998.657E-12	1.60125E+0	-8.93277E-3	997.407E-12	1.60124E+0	21.2149E-3	999.083E-12	1.63801E+0	-17.4032E-3	1.00451E-9	1.65540E+0	-4.18605E-3	1.00118E-9	1.64203E+0	6.41800E-3	1.00737E-9	1.65786E+0	2.23195E-6	1.00498E-9	1.66631E+0	-18.9784E-3
1.48800E-3	995.834E-12	1.61286E+0	-11.7902E-3	995.353E-12	1.58932E+0	-10.8122E-3	994.852E-12	1.59344E+0	-12.0935E-3	997.297E-12	1.65581E+0	-12.4650E-3	1.00316E-9	1.65845E+0	7.33241E-3	998.956E-12	1.65080E+0	8.70191E-3	1.00751E-9	1.69315E+0	19.6560E-3	1.00302E-9	1.63140E+0	-6.36070E-3
1.48500E-3	992.969E-12	1.61484E+0	1.39350E-3	992.045E-12	1.59710E+0	12.5830E-3	990.056E-12	1.61498E+0	-18.9583E-3	996.805E-12	1.63243E+0	10.5558E-3	1.00214E-9	1.63430E+0	9.04232E-3	998.648E-12	1.63309E+0	10.6182E-3	1.00661E-9	1.66159E+0	30.4172E-3	1.00117E-9	1.60820E+0	-13.9084E-3
1.48200E-3	990.588E-12	1.60498E+0	424.622E-6	987.886E-12	1.55728E+0	28.4805E-3	989.705E-12	1.62119E+0	-27.4465E-3	994.173E-12	1.63649E+0	239.882E-6	1.00035E-9	1.62637E+0	7.30992E-3	996.250E-12	1.62018E+0	11.4254E-3	1.00514E-9	1.64182E+0	30.9679E-3	999.674E-12	1.61712E+0	-20.4636E-3
1.47900E-3	989.232E-12	1.62130E+0	-3.56911E-3	986.125E-12	1.56770E+0	18.9221E-3	988.980E-12	1.66302E+0	-28.6223E-3	992.590E-12	1.63317E+0	-1.00708E-3	999.010E-12	1.64293E+0	9.22491E-3	995.779E-12	1.62366E+0	16.0871E-3	1.00441E-9	1.67594E+0	18.2692E-3	996.839E-12	1.62919E+0	-6.68158E-3
1.47600E-3	985.922E-12	1.63895E+0	24.8147E-3	982.510E-12	1.59411E+0	35.9299E-3	986.456E-12	1.67504E+0	17.4714E-3	988.801E-12	1.64771E+0	21.0427E-3	995.554E-12	1.64994E+0	12.3793E-3	991.723E-12	1.64282E+0	903.485E-6	999.897E-12	1.66894E+0	32.2012E-3	995.041E-12	1.63805E+0	4.03323E-3
1.47300E-3	984.550E-12	1.64206E+0	29.5371E-3	982.095E-12	1.61531E+0	35.4621E-3	983.250E-12	1.66402E+0	16.7399E-3	988.305E-12	1.64685E+0	36.4091E-3	994.265E-12	1.65557E+0	9.47382E-3	990.751E-12	1.66518E+0	-18.6606E-3	998.122E-12	1.65597E+0	33.6342E-3	993.921E-12	1.64557E+0	13.4478E-3
