Experiment	Oscilloscope	
Date	06.05.2022 12:19:48	
User		
AC	1.22723E-12	
DC	-109.224E-9	
Pk-Pk	6.50857E-12	
Signal Unit	m	
Bias>Bias (V)	10E-3	
Bias>Calibration (V/V)	9.73E-3	
Bias>Offset (V)	3.944E-3	
Bias Spectroscopy>Sweep Start (V)	10E-3	
Bias Spectroscopy>Sweep End (V)	-10E-3	
Bias Spectroscopy>Num Pixel	1001	
Bias Spectroscopy>Z Avg time (s)	150E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	5E-3	
Bias Spectroscopy>Settling time (s)	133.333E-6	
Bias Spectroscopy>Integration time (s)	20E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	Inf	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	3	
Bias Spectroscopy>Channels	Current (A);Input 3 (V);Input 4 (V)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	-1E+0,1E+0,66.6667E-6,66.6667E-6,256	
Current>Current (A)	319.177E-12	
Current>Calibration (A/V)	10E-9	
Current>Offset (A)	8.15283E-12	
Current>Gain	n/a	
NanonisMain>Session Path	F:\Nanonis data\2022\2022-04-07-Ga\2022-05-06	
NanonisMain>SW Version	Generic 4	
NanonisMain>UI Release	10022	
NanonisMain>RT Release	8987	
NanonisMain>RT Frequency (Hz)	15E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	140E-9	
Oscillation Control>Input Range (m)	140E-9	
Oscillation Control>Center Frequency (Hz)	29.1588E+3	
Oscillation Control>Range (Hz)	76.2939E+0	
Oscillation Control>Reference Phase (deg)	200.361E+0	
Oscillation Control>Cut off frq (Hz)	777	
Oscillation Control>Harmonic	1	
Oscillation Control>Phase P gain (Hz/rad)	1.74535E+0	
Oscillation Control>Phase I gain (Hz/rad/s)	7.31089E+0	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	0E+0	
Oscillation Control>Amplitude Setpoint (m)	10E-9	
Oscillation Control>Amplitude P gain (V/nm)	35.1703E+6	
Oscillation Control>Amplitude I gain (V/nm/s)	147.321E+6	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	5E-3	
Oscillation Control>output divider	1	
Oscillation Control>output off	FALSE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	7.55E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	100.001E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	100.001E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	8.482E-6	
Piezo Calibration>Active Calib.	LT	
Piezo Calibration>Calib. X (m/V)	10.56E-9	
Piezo Calibration>Calib. Y (m/V)	-10.26E-9	
Piezo Calibration>Calib. Z (m/V)	1.34E-9	
Piezo Calibration>HV Gain X	15	
Piezo Calibration>HV Gain Y	15	
Piezo Calibration>HV Gain Z	15	
Piezo Calibration>Tilt X (deg)	2.6391	
Piezo Calibration>Tilt Y (deg)	2.64824	
Piezo Calibration>Curvature radius X (m)	Inf	
Piezo Calibration>Curvature radius Y (m)	Inf	
Piezo Calibration>2nd order corr X (V/m^2)	0E+0	
Piezo Calibration>2nd order corr Y (V/m^2)	0E+0	
Piezo Calibration>Drift X (m/s)	0E+0	
Piezo Calibration>Drift Y (m/s)	0E+0	
Piezo Calibration>Drift Z (m/s)	0E+0	
Piezo Calibration>Drift correction status (on/off)	FALSE	
Scan>Scanfield	18.1643E-9;228.77E-9;20E-9;20E-9;0E+0	
Scan>series name	%Y-%m-%d_Ga2-STM-Scan-A8-	
Scan>channels	Current (A);Input 3 (V);Input 4 (V);Z (m)	
Scan>pixels/line	208	
Scan>lines	208	
Scan>speed forw. (m/s)	16.5782E-9	
Scan>speed backw. (m/s)	16.5782E-9	
Z Spectroscopy>Initial Z-offset (m)	0E+0	
Z Spectroscopy>Sweep distance (m)	500E-12	
Z Spectroscopy>Num Pixel	100	
Z Spectroscopy>Z Avg time (s)	100E-3	
Z Spectroscopy>1st Settling time (s)	5E-3	
Z Spectroscopy>Settling time (s)	200E-6	
Z Spectroscopy>Integration time (s)	15E-3	
Z Spectroscopy>End Settling time (s)	5E-3	
Z Spectroscopy>Z control time (s)	200E-3	
Z Spectroscopy>Max Slew rate (V/s)	Inf	
Z Spectroscopy>backward sweep	TRUE	
Z Spectroscopy>Number of sweeps	1	
Z Spectroscopy>Channels	Current (A)	
Z Spectroscopy>Time between fwd/bwd (s)	0E+0	
Z Spectroscopy>Record final Z	FALSE	
Z Spectroscopy>Lock-In run	FALSE	
Z-Controller>Z (m)	-109.228E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	300E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	1.91791E-12	
Z-Controller>I gain	7.92483E-9	
Z-Controller>Time const (s)	242.013E-6	
Z-Controller>TipLift (m)	10E-9	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Time (s)	Z (m)
0.00000E+0	-109.223E-9
3.33333E-3	-109.223E-9
6.66667E-3	-109.223E-9
10.0000E-3	-109.223E-9
13.3333E-3	-109.222E-9
16.6667E-3	-109.223E-9
20.0000E-3	-109.223E-9
23.3333E-3	-109.223E-9
26.6667E-3	-109.223E-9
30.0000E-3	-109.222E-9
33.3333E-3	-109.222E-9
36.6667E-3	-109.223E-9
40.0000E-3	-109.223E-9
43.3333E-3	-109.223E-9
46.6667E-3	-109.223E-9
50.0000E-3	-109.223E-9
53.3333E-3	-109.223E-9
56.6667E-3	-109.224E-9
60.0000E-3	-109.224E-9
63.3333E-3	-109.225E-9
66.6667E-3	-109.224E-9
70.0000E-3	-109.224E-9
73.3333E-3	-109.225E-9
76.6667E-3	-109.225E-9
80.0000E-3	-109.225E-9
83.3333E-3	-109.225E-9
86.6667E-3	-109.225E-9
90.0000E-3	-109.225E-9
93.3333E-3	-109.225E-9
96.6667E-3	-109.225E-9
100.000E-3	-109.225E-9
103.333E-3	-109.225E-9
106.667E-3	-109.225E-9
110.000E-3	-109.225E-9
113.333E-3	-109.224E-9
116.667E-3	-109.224E-9
120.000E-3	-109.224E-9
123.333E-3	-109.225E-9
126.667E-3	-109.224E-9
130.000E-3	-109.224E-9
133.333E-3	-109.224E-9
136.667E-3	-109.224E-9
140.000E-3	-109.224E-9
143.333E-3	-109.224E-9
