Experiment	Z spectroscopy	
Date	06.05.2022 12:28:52	
User		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	-109.462E-9	
Z offset (m)	0E+0	
Z sweep distance (m)	-500E-12	
Settling time (s)	200E-6	
Integration time (s)	15E-3	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	z spectro on Pb	
Bias>Bias (V)	10E-3	
Bias>Calibration (V/V)	9.73E-3	
Bias>Offset (V)	3.944E-3	
Current>Current (A)	318.578E-12	
Current>Calibration (A/V)	10E-9	
Current>Offset (A)	8.15283E-12	
Current>Gain	n/a	
NanonisMain>Session Path	F:\Nanonis data\2022\2022-04-07-Ga\2022-05-06	
NanonisMain>SW Version	Generic 4	
NanonisMain>UI Release	10022	
NanonisMain>RT Release	8987	
NanonisMain>RT Frequency (Hz)	15E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Piezo Calibration>Active Calib.	LT	
Piezo Calibration>Calib. X (m/V)	10.56E-9	
Piezo Calibration>Calib. Y (m/V)	-10.26E-9	
Piezo Calibration>Calib. Z (m/V)	1.34E-9	
Piezo Calibration>HV Gain X	15	
Piezo Calibration>HV Gain Y	15	
Piezo Calibration>HV Gain Z	15	
Piezo Calibration>Tilt X (deg)	2.6391	
Piezo Calibration>Tilt Y (deg)	2.64824	
Piezo Calibration>Curvature radius X (m)	Inf	
Piezo Calibration>Curvature radius Y (m)	Inf	
Piezo Calibration>2nd order corr X (V/m^2)	0E+0	
Piezo Calibration>2nd order corr Y (V/m^2)	0E+0	
Piezo Calibration>Drift X (m/s)	0E+0	
Piezo Calibration>Drift Y (m/s)	0E+0	
Piezo Calibration>Drift Z (m/s)	0E+0	
Piezo Calibration>Drift correction status (on/off)	FALSE	
Z Spectroscopy>Initial Z-offset (m)	0E+0	
Z Spectroscopy>Sweep distance (m)	500E-12	
Z Spectroscopy>Num Pixel	200	
Z Spectroscopy>Z Avg time (s)	100E-3	
Z Spectroscopy>1st Settling time (s)	5E-3	
Z Spectroscopy>Settling time (s)	200E-6	
Z Spectroscopy>Integration time (s)	15E-3	
Z Spectroscopy>End Settling time (s)	5E-3	
Z Spectroscopy>Z control time (s)	200E-3	
Z Spectroscopy>Max Slew rate (V/s)	Inf	
Z Spectroscopy>backward sweep	TRUE	
Z Spectroscopy>Number of sweeps	3	
Z Spectroscopy>Channels	Current (A)	
Z Spectroscopy>Time between fwd/bwd (s)	0E+0	
Z Spectroscopy>Record final Z	FALSE	
Z Spectroscopy>Lock-In run	FALSE	
Z-Controller>Z (m)	-109.459E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	300E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	1.96304E-12	
Z-Controller>I gain	8.11131E-9	
Z-Controller>Time const (s)	242.013E-6	
Z-Controller>TipLift (m)	10E-9	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Z rel (m)	Current [AVG] (A)	Current [00001] (A)	Current [00002] (A)	Current [00003] (A)	Current [AVG] [bwd] (A)	Current [00001] [bwd] (A)	Current [00002] [bwd] (A)	Current [00003] [bwd] (A)
0.00000E+0	307.113E-12	303.054E-12	306.596E-12	311.688E-12	243.468E-12	178.216E-12	275.680E-12	276.508E-12
2.51256E-12	283.922E-12	276.117E-12	284.730E-12	290.919E-12	232.973E-12	174.188E-12	267.774E-12	256.957E-12
5.02513E-12	263.178E-12	250.466E-12	267.604E-12	271.466E-12	223.797E-12	168.884E-12	256.529E-12	245.978E-12
7.53769E-12	246.783E-12	227.753E-12	256.581E-12	256.013E-12	215.261E-12	162.312E-12	242.651E-12	240.820E-12
10.0503E-12	232.814E-12	206.033E-12	247.002E-12	245.408E-12	206.024E-12	151.028E-12	228.457E-12	238.587E-12
12.5628E-12	221.085E-12	188.961E-12	234.962E-12	239.331E-12	196.590E-12	138.851E-12	216.623E-12	234.297E-12
15.0754E-12	210.192E-12	175.183E-12	222.351E-12	233.043E-12	185.408E-12	130.438E-12	208.360E-12	217.425E-12
17.5879E-12	198.854E-12	161.995E-12	213.276E-12	221.291E-12	171.861E-12	123.532E-12	199.138E-12	192.912E-12
20.1005E-12	186.728E-12	147.652E-12	206.773E-12	205.757E-12	159.884E-12	117.395E-12	188.123E-12	174.135E-12
22.6131E-12	176.330E-12	136.728E-12	198.561E-12	193.700E-12	151.480E-12	112.814E-12	175.925E-12	165.701E-12
25.1256E-12	166.792E-12	129.129E-12	186.470E-12	184.776E-12	146.198E-12	109.471E-12	165.395E-12	163.727E-12
27.6382E-12	157.127E-12	122.698E-12	174.202E-12	174.482E-12	142.527E-12	105.742E-12	160.939E-12	160.900E-12
30.1508E-12	148.702E-12	117.212E-12	162.064E-12	166.831E-12	138.119E-12	99.5122E-12	157.434E-12	157.411E-12
32.6633E-12	142.206E-12	112.214E-12	154.945E-12	159.459E-12	131.379E-12	94.4958E-12	149.955E-12	149.686E-12
35.1759E-12	137.186E-12	107.665E-12	150.945E-12	152.947E-12	122.744E-12	90.0730E-12	138.360E-12	139.801E-12
37.6884E-12	131.390E-12	100.420E-12	148.376E-12	145.375E-12	114.201E-12	84.5319E-12	128.368E-12	129.704E-12
40.2010E-12	123.714E-12	93.4866E-12	141.618E-12	136.036E-12	107.483E-12	78.9952E-12	123.091E-12	120.362E-12
42.7136E-12	115.747E-12	88.4030E-12	131.674E-12	127.164E-12	102.288E-12	74.3469E-12	118.120E-12	114.398E-12
45.2261E-12	108.830E-12	85.0301E-12	121.787E-12	119.673E-12	98.6424E-12	72.7762E-12	112.830E-12	110.322E-12
47.7387E-12	103.484E-12	81.5738E-12	114.091E-12	114.787E-12	94.2063E-12	70.5928E-12	106.080E-12	105.946E-12
50.2513E-12	99.0443E-12	77.5680E-12	109.039E-12	110.526E-12	89.5125E-12	67.8021E-12	99.5958E-12	101.140E-12
52.7638E-12	94.4395E-12	73.1723E-12	105.148E-12	104.998E-12	84.7671E-12	63.4860E-12	93.6138E-12	97.2017E-12
55.2764E-12	89.9613E-12	69.2269E-12	99.1899E-12	101.467E-12	80.6701E-12	59.4150E-12	89.2080E-12	93.3874E-12
57.7889E-12	85.3392E-12	66.6299E-12	91.7300E-12	97.6578E-12	76.3684E-12	56.5381E-12	85.8476E-12	86.7195E-12
60.3015E-12	80.4540E-12	62.8116E-12	86.8062E-12	91.7442E-12	71.9338E-12	53.3182E-12	83.4106E-12	79.0726E-12
