Experiment	Frequency Sweep	
Date	17.02.2021 13:15:05	
User		
f_res (Hz)	21473,9993	
Q	1762	
Phase (deg)	-126,26	
Amp/Exc (nm/mV)	0,882419	
Number of points	2000	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-76.3000E+0	21.4915E+3	14.6172E-9	43.6050E+0
-76.2237E+0	21.4915E+3	15.2935E-9	50.2471E+0
-76.1473E+0	21.4915E+3	15.0424E-9	50.4387E+0
-76.0710E+0	21.4915E+3	13.9276E-9	42.7646E+0
-75.9946E+0	21.4915E+3	14.6687E-9	51.2328E+0
-75.9183E+0	21.4915E+3	13.4084E-9	49.4976E+0
-75.8420E+0	21.4915E+3	14.1391E-9	48.7671E+0
-75.7656E+0	21.4915E+3	13.9515E-9	54.1344E+0
-75.6893E+0	21.4915E+3	15.0399E-9	49.5529E+0
-75.6129E+0	21.4915E+3	14.9270E-9	52.1248E+0
-75.5366E+0	21.4915E+3	14.1598E-9	50.3185E+0
-75.4603E+0	21.4915E+3	14.6524E-9	49.6988E+0
-75.3839E+0	21.4915E+3	14.6114E-9	52.6320E+0
-75.3076E+0	21.4915E+3	14.3172E-9	50.7803E+0
-75.2312E+0	21.4915E+3	13.9596E-9	51.2098E+0
-75.1549E+0	21.4915E+3	14.4751E-9	52.7189E+0
-75.0786E+0	21.4915E+3	13.5007E-9	50.1685E+0
-75.0022E+0	21.4915E+3	14.4513E-9	51.8118E+0
-74.9259E+0	21.4915E+3	14.9454E-9	54.0325E+0
-74.8495E+0	21.4915E+3	14.7920E-9	54.9879E+0
-74.7732E+0	21.4915E+3	14.8297E-9	57.0813E+0
-74.6969E+0	21.4915E+3	13.4952E-9	48.3970E+0
-74.6205E+0	21.4915E+3	14.0239E-9	51.1096E+0
-74.5442E+0	21.4915E+3	14.9055E-9	48.0881E+0
-74.4678E+0	21.4915E+3	13.9116E-9	48.6997E+0
-74.3915E+0	21.4915E+3	14.3138E-9	50.7171E+0
-74.3152E+0	21.4915E+3	14.1502E-9	47.3518E+0
-74.2388E+0	21.4915E+3	14.3227E-9	50.6334E+0
-74.1625E+0	21.4915E+3	13.9548E-9	55.6389E+0
-74.0862E+0	21.4915E+3	14.5503E-9	55.8411E+0
-74.0098E+0	21.4915E+3	14.5763E-9	49.3163E+0
-73.9335E+0	21.4915E+3	14.5787E-9	55.8758E+0
-73.8571E+0	21.4915E+3	14.6852E-9	50.0730E+0
-73.7808E+0	21.4915E+3	13.9223E-9	48.5050E+0
-73.7045E+0	21.4915E+3	14.5307E-9	50.7607E+0
-73.6281E+0	21.4915E+3	14.1372E-9	54.8930E+0
-73.5518E+0	21.4915E+3	13.9312E-9	52.3696E+0
-73.4754E+0	21.4915E+3	13.1364E-9	55.4893E+0
-73.3991E+0	21.4915E+3	13.9470E-9	51.9211E+0
-73.3228E+0	21.4915E+3	14.3520E-9	56.3869E+0
-73.2464E+0	21.4915E+3	13.5325E-9	45.5833E+0
-73.1701E+0	21.4915E+3	15.0844E-9	48.4708E+0
-73.0937E+0	21.4915E+3	14.0141E-9	54.8478E+0
-73.0174E+0	21.4915E+3	14.0804E-9	53.3580E+0
-72.9411E+0	21.4915E+3	14.0961E-9	55.0740E+0
-72.8647E+0	21.4915E+3	14.3276E-9	48.7329E+0
-72.7884E+0	21.4915E+3	14.8231E-9	55.8948E+0
-72.7120E+0	21.4915E+3	14.0908E-9	51.8639E+0
-72.6357E+0	21.4915E+3	13.2629E-9	56.8451E+0
-72.5594E+0	21.4915E+3	15.0528E-9	54.9775E+0
-72.4830E+0	21.4915E+3	14.3486E-9	52.7372E+0
-72.4067E+0	21.4915E+3	14.4887E-9	45.9927E+0
-72.3303E+0	21.4915E+3	14.1974E-9	49.7144E+0
-72.2540E+0	21.4915E+3	13.8520E-9	51.7745E+0
-72.1777E+0	21.4915E+3	13.6452E-9	51.1859E+0
-72.1013E+0	21.4915E+3	13.6514E-9	53.3818E+0
-72.0250E+0	21.4915E+3	14.1720E-9	54.3738E+0
-71.9486E+0	21.4915E+3	14.3159E-9	53.2108E+0
-71.8723E+0	21.4915E+3	14.0065E-9	58.0451E+0
-71.7960E+0	21.4915E+3	14.1988E-9	50.2573E+0
-71.7196E+0	21.4915E+3	14.2600E-9	51.1260E+0
-71.6433E+0	21.4915E+3	14.2825E-9	53.4704E+0
-71.5669E+0	21.4915E+3	13.9222E-9	51.6317E+0
-71.4906E+0	21.4915E+3	14.4221E-9	54.2273E+0
-71.4143E+0	21.4915E+3	14.6927E-9	54.1893E+0
-71.3379E+0	21.4915E+3	15.1268E-9	52.7671E+0
-71.2616E+0	21.4915E+3	14.1497E-9	51.7011E+0
-71.1852E+0	21.4915E+3	15.3057E-9	52.7571E+0
-71.1089E+0	21.4915E+3	14.1296E-9	53.6577E+0
-71.0326E+0	21.4915E+3	14.2452E-9	54.7055E+0
-70.9562E+0	21.4915E+3	14.1009E-9	51.4595E+0
-70.8799E+0	21.4915E+3	14.5197E-9	58.1291E+0
-70.8035E+0	21.4915E+3	13.4284E-9	55.7632E+0
-70.7272E+0	21.4915E+3	13.7802E-9	59.1707E+0
-70.6509E+0	21.4915E+3	12.6052E-9	52.8216E+0
-70.5745E+0	21.4915E+3	14.1092E-9	51.4927E+0
-70.4982E+0	21.4915E+3	14.0449E-9	54.3729E+0
-70.4218E+0	21.4915E+3	13.9443E-9	53.2678E+0
-70.3455E+0	21.4915E+3	14.6662E-9	56.1842E+0
-70.2692E+0	21.4915E+3	13.8533E-9	55.2593E+0
-70.1928E+0	21.4915E+3	14.3324E-9	55.4023E+0
-70.1165E+0	21.4915E+3	13.7029E-9	57.7247E+0
-70.0401E+0	21.4915E+3	14.4053E-9	57.2696E+0
-69.9638E+0	21.4915E+3	14.9475E-9	54.8505E+0
-69.8875E+0	21.4915E+3	14.3906E-9	55.3499E+0
-69.8111E+0	21.4915E+3	14.2817E-9	51.7367E+0
-69.7348E+0	21.4915E+3	14.5427E-9	60.1603E+0
-69.6584E+0	21.4915E+3	13.8233E-9	52.3195E+0
-69.5821E+0	21.4915E+3	14.6145E-9	57.6308E+0
-69.5058E+0	21.4915E+3	14.4479E-9	57.2983E+0
-69.4294E+0	21.4915E+3	13.7445E-9	54.2386E+0
-69.3531E+0	21.4915E+3	14.2789E-9	58.6076E+0
-69.2767E+0	21.4915E+3	14.4715E-9	53.8011E+0
-69.2004E+0	21.4915E+3	14.1882E-9	59.9088E+0
-69.1241E+0	21.4915E+3	14.3435E-9	60.3826E+0
-69.0477E+0	21.4915E+3	14.0583E-9	53.1253E+0
-68.9714E+0	21.4915E+3	15.1501E-9	57.1075E+0
-68.8951E+0	21.4915E+3	15.2015E-9	43.8721E+0
-68.8187E+0	21.4915E+3	14.6397E-9	59.4107E+0
-68.7424E+0	21.4915E+3	14.6584E-9	57.9518E+0
-68.6660E+0	21.4915E+3	14.5261E-9	56.9269E+0
-68.5897E+0	21.4915E+3	14.2087E-9	59.1064E+0
-68.5134E+0	21.4915E+3	13.5685E-9	55.2884E+0
-68.4370E+0	21.4915E+3	14.5062E-9	56.0898E+0
-68.3607E+0	21.4915E+3	13.7020E-9	57.4488E+0
-68.2843E+0	21.4915E+3	14.4825E-9	60.1357E+0
-68.2080E+0	21.4915E+3	14.2375E-9	62.2074E+0
-68.1317E+0	21.4915E+3	14.3893E-9	57.0216E+0
-68.0553E+0	21.4915E+3	14.1308E-9	56.6780E+0
-67.9790E+0	21.4915E+3	14.1366E-9	56.4597E+0
-67.9026E+0	21.4915E+3	14.0352E-9	57.6458E+0
-67.8263E+0	21.4915E+3	13.8641E-9	55.4683E+0
-67.7500E+0	21.4915E+3	13.9021E-9	54.4693E+0
-67.6736E+0	21.4915E+3	13.5645E-9	56.5266E+0
-67.5973E+0	21.4915E+3	15.1637E-9	60.0230E+0
-67.5209E+0	21.4915E+3	14.7751E-9	52.0216E+0
-67.4446E+0	21.4915E+3	14.7984E-9	55.3415E+0
-67.3683E+0	21.4915E+3	15.0459E-9	59.3751E+0
-67.2919E+0	21.4915E+3	14.9900E-9	64.0116E+0
-67.2156E+0	21.4915E+3	13.5821E-9	60.8597E+0
-67.1392E+0	21.4915E+3	14.7473E-9	59.2117E+0
-67.0629E+0	21.4915E+3	13.2069E-9	58.4226E+0
-66.9866E+0	21.4915E+3	14.7784E-9	56.9415E+0
-66.9102E+0	21.4915E+3	14.3574E-9	58.6900E+0
-66.8339E+0	21.4915E+3	13.6515E-9	51.6791E+0
-66.7575E+0	21.4915E+3	14.1331E-9	58.4371E+0
-66.6812E+0	21.4915E+3	14.8428E-9	56.2234E+0
-66.6049E+0	21.4915E+3	14.0310E-9	61.4832E+0
-66.5285E+0	21.4915E+3	13.8557E-9	60.2939E+0
-66.4522E+0	21.4915E+3	13.8465E-9	59.5788E+0
-66.3758E+0	21.4915E+3	14.1496E-9	58.2948E+0
-66.2995E+0	21.4915E+3	15.1114E-9	56.2055E+0
-66.2232E+0	21.4915E+3	14.8468E-9	59.7628E+0
-66.1468E+0	21.4915E+3	13.7045E-9	61.1386E+0
-66.0705E+0	21.4915E+3	14.8917E-9	57.4799E+0
-65.9941E+0	21.4915E+3	13.8390E-9	50.0212E+0
-65.9178E+0	21.4915E+3	13.7781E-9	60.7379E+0
-65.8415E+0	21.4915E+3	13.4953E-9	58.8327E+0
